azimuthal_phi,cross_section
0.0,0.006756
15.0,0.00849985
30.0,0.00962415
45.0,0.010106
49.50629,0.01013198
60.0,0.0099984
75.0,0.00938996
90.0,0.00837991
105.0,0.00700631
120.0,0.00554104
135.0,0.00388799
150.0,0.00218323
165.0,0.000496699
169.53949,0.0
180.0,-0.001105042
195.0,-0.002555748
210.0,-0.0037865
225.0,-0.00472357
240.0,-0.00528816
250.92255,-0.00541853
255.0,-0.00539945
270.0,-0.00498337
285.0,-0.00398922
300.0,-0.002415165
315.0,-0.00338272
317.20454,0.0
330.0,0.002064833
345.0,0.00452878
360.0,0.006756
